symbol,date,raw_signal,guarded_signal,final_signal,trade_return,cum_pnl
AAPL,2025-08-17,HOLD,HOLD,HOLD,0,0.0914
AAPL,2025-08-18,HOLD,HOLD,HOLD,0,0.0914
AAPL,2025-08-19,SELL,SELL,SELL,0.0049,0.0963
AAPL,2025-08-20,SELL,SELL,SELL,-0.0127,0.0836
AAPL,2025-08-21,HOLD,HOLD,HOLD,0,0.0836
AAPL,2025-08-24,HOLD,HOLD,HOLD,0,0.0836
AAPL,2025-08-25,BUY,BUY,BUY,0.0051,0.0887
TSLA,2025-06-01,SELL,SELL,SELL,-0.0046,-0.0046
TSLA,2025-06-02,HOLD,HOLD,HOLD,0,-0.0046
TSLA,2025-06-03,SELL,SELL,SELL,0.1426,0.138
TSLA,2025-06-04,SELL,SELL,SELL,-0.0367,0.1013
TSLA,2025-06-05,HOLD,HOLD,HOLD,0,0.1013
TSLA,2025-06-08,HOLD,HOLD,HOLD,0,0.1013
TSLA,2025-06-09,BUY,BUY,BUY,0.001,0.1024
TSLA,2025-06-10,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-11,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-12,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-15,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-16,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-17,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-19,HOLD,HOLD,HOLD,0,0.1024
TSLA,2025-06-22,BUY,BUY,BUY,-0.0235,0.0788
TSLA,2025-06-23,HOLD,HOLD,HOLD,0,0.0788
TSLA,2025-06-24,HOLD,HOLD,HOLD,0,0.0788
TSLA,2025-06-25,HOLD,HOLD,HOLD,0,0.0788
TSLA,2025-06-26,HOLD,HOLD,HOLD,0,0.0788
TSLA,2025-06-29,HOLD,HOLD,HOLD,0,0.0788
TSLA,2025-06-30,SELL,SELL,SELL,-0.0497,0.0291
TSLA,2025-07-01,HOLD,HOLD,HOLD,0,0.0291
TSLA,2025-07-02,HOLD,HOLD,HOLD,0,0.0291
TSLA,2025-07-06,SELL,SELL,SELL,-0.0132,0.016
TSLA,2025-07-07,HOLD,HOLD,HOLD,0,0.016
TSLA,2025-07-08,HOLD,HOLD,HOLD,0,0.016
TSLA,2025-07-09,BUY,BUY,BUY,0.0117,0.0277
TSLA,2025-07-10,BUY,BUY,BUY,0.0108,0.0385
TSLA,2025-07-13,BUY,BUY,BUY,-0.0193,0.0192
TSLA,2025-07-14,HOLD,HOLD,HOLD,0,0.0192
TSLA,2025-07-15,HOLD,HOLD,HOLD,0,0.0192
TSLA,2025-07-16,HOLD,HOLD,HOLD,0,0.0192
TSLA,2025-07-17,BUY,BUY,BUY,-0.0035,0.0157
TSLA,2025-07-20,HOLD,HOLD,HOLD,0,0.0157
TSLA,2025-07-21,HOLD,HOLD,HOLD,0,0.0157
TSLA,2025-07-22,HOLD,HOLD,HOLD,0,0.0157
TSLA,2025-07-23,SELL,SELL,SELL,-0.0352,-0.0195
TSLA,2025-07-24,HOLD,HOLD,HOLD,0,-0.0195
TSLA,2025-07-27,BUY,BUY,BUY,-0.0135,-0.033
TSLA,2025-07-28,HOLD,HOLD,HOLD,0,-0.033
TSLA,2025-07-29,HOLD,HOLD,HOLD,0,-0.033
TSLA,2025-07-30,SELL,SELL,SELL,0.0183,-0.0147
TSLA,2025-07-31,SELL,SELL,SELL,-0.0219,-0.0366
TSLA,2025-08-03,HOLD,HOLD,HOLD,0,-0.0366
TSLA,2025-08-04,HOLD,HOLD,HOLD,0,-0.0366
TSLA,2025-08-05,BUY,BUY,BUY,0.0074,-0.0293
TSLA,2025-08-06,BUY,BUY,BUY,0.0229,-0.0064
TSLA,2025-08-07,BUY,BUY,BUY,0.0285,0.0221
TSLA,2025-08-10,BUY,BUY,BUY,0.0053,0.0274
TSLA,2025-08-11,HOLD,HOLD,HOLD,0,0.0274
TSLA,2025-08-12,HOLD,HOLD,HOLD,0,0.0274
TSLA,2025-08-13,HOLD,HOLD,HOLD,0,0.0274
TSLA,2025-08-14,HOLD,HOLD,HOLD,0,0.0274
TSLA,2025-08-17,HOLD,HOLD,HOLD,0,0.0274
TSLA,2025-08-18,HOLD,HOLD,HOLD,0,0.0274
TSLA,2025-08-19,SELL,SELL,SELL,0.0117,0.0391
TSLA,2025-08-20,HOLD,HOLD,HOLD,0,0.0391
TSLA,2025-08-21,BUY,BUY,BUY,0.0194,0.0585
TSLA,2025-08-24,BUY,BUY,BUY,0.0146,0.0731
TSLA,2025-08-25,BUY,BUY,BUY,-0.0059,0.0673
NVDA,2025-06-01,HOLD,HOLD,HOLD,0,0.0
NVDA,2025-06-02,BUY,BUY,BUY,0.005,0.005
NVDA,2025-06-03,HOLD,HOLD,HOLD,0,0.005
NVDA,2025-06-04,HOLD,HOLD,HOLD,0,0.005
NVDA,2025-06-05,HOLD,HOLD,HOLD,0,0.005
NVDA,2025-06-08,HOLD,HOLD,HOLD,0,0.005
NVDA,2025-06-09,HOLD,HOLD,HOLD,0,0.005
NVDA,2025-06-10,HOLD,HOLD,HOLD,0,0.005
NVDA,2025-06-11,BUY,BUY,BUY,-0.0209,-0.0159
NVDA,2025-06-12,HOLD,HOLD,HOLD,0,-0.0159
NVDA,2025-06-15,HOLD,HOLD,HOLD,0,-0.0159
NVDA,2025-06-16,HOLD,HOLD,HOLD,0,-0.0159
NVDA,2025-06-17,HOLD,HOLD,HOLD,0,-0.0159
NVDA,2025-06-19,HOLD,HOLD,HOLD,0,-0.0159
NVDA,2025-06-22,HOLD,HOLD,HOLD,0,-0.0159
NVDA,2025-06-23,BUY,BUY,BUY,0.0433,0.0274
NVDA,2025-06-24,BUY,BUY,BUY,0.0046,0.032
NVDA,2025-06-25,BUY,BUY,BUY,0.0176,0.0496
NVDA,2025-06-26,BUY,BUY,BUY,0.0015,0.0511
NVDA,2025-06-29,HOLD,HOLD,HOLD,0,0.0511
NVDA,2025-06-30,SELL,SELL,SELL,-0.0258,0.0254
NVDA,2025-07-01,HOLD,HOLD,HOLD,0,0.0254
NVDA,2025-07-02,BUY,BUY,BUY,-0.0069,0.0185
NVDA,2025-07-06,HOLD,HOLD,HOLD,0,0.0185
NVDA,2025-07-07,HOLD,HOLD,HOLD,0,0.0185
NVDA,2025-07-08,BUY,BUY,BUY,0.0075,0.026
NVDA,2025-07-09,HOLD,HOLD,HOLD,0,0.026
NVDA,2025-07-10,BUY,BUY,BUY,-0.0052,0.0208
NVDA,2025-07-13,HOLD,HOLD,HOLD,0,0.0208
NVDA,2025-07-14,BUY,BUY,BUY,0.0039,0.0247
NVDA,2025-07-15,HOLD,HOLD,HOLD,0,0.0247
NVDA,2025-07-16,BUY,BUY,BUY,-0.0034,0.0213
NVDA,2025-07-17,HOLD,HOLD,HOLD,0,0.0213
NVDA,2025-07-20,HOLD,HOLD,HOLD,0,0.0213
NVDA,2025-07-21,SELL,SELL,SELL,-0.0225,-0.0011
NVDA,2025-07-22,HOLD,HOLD,HOLD,0,-0.0011
NVDA,2025-07-23,BUY,BUY,BUY,-0.0014,-0.0025
NVDA,2025-07-24,HOLD,HOLD,HOLD,0,-0.0025
NVDA,2025-07-27,BUY,BUY,BUY,-0.007,-0.0095
NVDA,2025-07-28,HOLD,HOLD,HOLD,0,-0.0095
NVDA,2025-07-29,HOLD,HOLD,HOLD,0,-0.0095
NVDA,2025-07-30,HOLD,HOLD,HOLD,0,-0.0095
NVDA,2025-07-31,SELL,SELL,SELL,-0.0362,-0.0457
NVDA,2025-08-03,HOLD,HOLD,HOLD,0,-0.0457
NVDA,2025-08-04,HOLD,HOLD,HOLD,0,-0.0457
NVDA,2025-08-05,HOLD,HOLD,HOLD,0,-0.0457
NVDA,2025-08-06,BUY,BUY,BUY,0.0107,-0.035
NVDA,2025-08-07,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-10,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-11,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-12,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-13,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-14,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-17,HOLD,HOLD,HOLD,0,-0.035
NVDA,2025-08-18,SELL,SELL,SELL,0.0014,-0.0336
NVDA,2025-08-19,SELL,SELL,SELL,0.0024,-0.0312
NVDA,2025-08-20,HOLD,HOLD,HOLD,0,-0.0312
NVDA,2025-08-21,BUY,BUY,BUY,0.0102,-0.021
NVDA,2025-08-24,BUY,BUY,BUY,0.0109,-0.0101
NVDA,2025-08-25,HOLD,HOLD,HOLD,0,-0.0101
AMZN,2025-06-01,HOLD,HOLD,HOLD,0,0.0
AMZN,2025-06-02,HOLD,HOLD,HOLD,0,0.0
AMZN,2025-06-03,HOLD,HOLD,HOLD,0,0.0
AMZN,2025-06-04,HOLD,HOLD,HOLD,0,0.0
AMZN,2025-06-05,BUY,BUY,BUY,0.016,0.016
AMZN,2025-06-08,BUY,BUY,BUY,0.0029,0.0189
AMZN,2025-06-09,HOLD,HOLD,HOLD,0,0.0189
AMZN,2025-06-10,HOLD,HOLD,HOLD,0,0.0189
AMZN,2025-06-11,HOLD,HOLD,HOLD,0,0.0189
AMZN,2025-06-12,HOLD,HOLD,HOLD,0,0.0189
AMZN,2025-06-15,BUY,BUY,BUY,-0.0059,0.0129
AMZN,2025-06-16,HOLD,HOLD,HOLD,0,0.0129
AMZN,2025-06-17,HOLD,HOLD,HOLD,0,0.0129
AMZN,2025-06-19,SELL,SELL,SELL,0.0058,0.0188
AMZN,2025-06-22,HOLD,HOLD,HOLD,0,0.0188
AMZN,2025-06-23,HOLD,HOLD,HOLD,0,0.0188
AMZN,2025-06-24,HOLD,HOLD,HOLD,0,0.0188
AMZN,2025-06-25,BUY,BUY,BUY,0.0285,0.0472
AMZN,2025-06-26,BUY,BUY,BUY,-0.0175,0.0297
AMZN,2025-06-29,HOLD,HOLD,HOLD,0,0.0297
AMZN,2025-06-30,HOLD,HOLD,HOLD,0,0.0297
AMZN,2025-07-01,HOLD,HOLD,HOLD,0,0.0297
AMZN,2025-07-02,BUY,BUY,BUY,0.0003,0.03
AMZN,2025-07-06,HOLD,HOLD,HOLD,0,0.03
AMZN,2025-07-07,SELL,SELL,SELL,-0.0145,0.0155
AMZN,2025-07-08,HOLD,HOLD,HOLD,0,0.0155
AMZN,2025-07-09,HOLD,HOLD,HOLD,0,0.0155
AMZN,2025-07-10,BUY,BUY,BUY,0.003,0.0185
AMZN,2025-07-13,HOLD,HOLD,HOLD,0,0.0185
AMZN,2025-07-14,HOLD,HOLD,HOLD,0,0.0185
AMZN,2025-07-15,SELL,SELL,SELL,-0.0031,0.0154
AMZN,2025-07-16,HOLD,HOLD,HOLD,0,0.0154
AMZN,2025-07-17,BUY,BUY,BUY,0.014,0.0294
AMZN,2025-07-20,BUY,BUY,BUY,-0.008,0.0214
AMZN,2025-07-21,HOLD,HOLD,HOLD,0,0.0214
AMZN,2025-07-22,HOLD,HOLD,HOLD,0,0.0214
AMZN,2025-07-23,BUY,BUY,BUY,-0.0034,0.018
AMZN,2025-07-24,HOLD,HOLD,HOLD,0,0.018
AMZN,2025-07-27,HOLD,HOLD,HOLD,0,0.018
AMZN,2025-07-28,SELL,SELL,SELL,0.0035,0.0216
AMZN,2025-07-29,SELL,SELL,SELL,-0.017,0.0045
AMZN,2025-07-30,HOLD,HOLD,HOLD,0,0.0045
AMZN,2025-07-31,SELL,SELL,SELL,0.0144,0.019
AMZN,2025-08-03,SELL,SELL,SELL,-0.0099,0.009
AMZN,2025-08-04,HOLD,HOLD,HOLD,0,0.009
AMZN,2025-08-05,BUY,BUY,BUY,0.0037,0.0127
AMZN,2025-08-06,BUY,BUY,BUY,-0.002,0.0108
AMZN,2025-08-07,HOLD,HOLD,HOLD,0,0.0108
AMZN,2025-08-10,HOLD,HOLD,HOLD,0,0.0108
AMZN,2025-08-11,HOLD,HOLD,HOLD,0,0.0108
AMZN,2025-08-12,BUY,BUY,BUY,0.0286,0.0394
AMZN,2025-08-13,BUY,BUY,BUY,0.0002,0.0396
AMZN,2025-08-14,HOLD,HOLD,HOLD,0,0.0396
AMZN,2025-08-17,HOLD,HOLD,HOLD,0,0.0396
AMZN,2025-08-18,SELL,SELL,SELL,0.0184,0.058
AMZN,2025-08-19,SELL,SELL,SELL,0.0083,0.0663
AMZN,2025-08-20,HOLD,HOLD,HOLD,0,0.0663
AMZN,2025-08-21,BUY,BUY,BUY,-0.0039,0.0624
AMZN,2025-08-24,HOLD,HOLD,HOLD,0,0.0624
AMZN,2025-08-25,HOLD,HOLD,HOLD,0,0.0624
MSFT,2025-06-01,BUY,BUY,BUY,0.0022,0.0022
MSFT,2025-06-02,BUY,BUY,BUY,0.0019,0.0041
MSFT,2025-06-03,HOLD,HOLD,HOLD,0,0.0041
MSFT,2025-06-04,BUY,BUY,BUY,0.0058,0.0099
MSFT,2025-06-05,BUY,BUY,BUY,0.005,0.0149
MSFT,2025-06-08,HOLD,HOLD,HOLD,0,0.0149
MSFT,2025-06-09,HOLD,HOLD,HOLD,0,0.0149
MSFT,2025-06-10,HOLD,HOLD,HOLD,0,0.0149
MSFT,2025-06-11,BUY,BUY,BUY,-0.0082,0.0068
MSFT,2025-06-12,HOLD,HOLD,HOLD,0,0.0068
MSFT,2025-06-15,HOLD,HOLD,HOLD,0,0.0068
MSFT,2025-06-16,HOLD,HOLD,HOLD,0,0.0068
MSFT,2025-06-17,HOLD,HOLD,HOLD,0,0.0068
MSFT,2025-06-19,HOLD,HOLD,HOLD,0,0.0068
MSFT,2025-06-22,BUY,BUY,BUY,0.0085,0.0152
MSFT,2025-06-23,BUY,BUY,BUY,0.0044,0.0196
MSFT,2025-06-24,BUY,BUY,BUY,0.0105,0.0301
MSFT,2025-06-25,BUY,BUY,BUY,-0.003,0.0271
MSFT,2025-06-26,HOLD,HOLD,HOLD,0,0.0271
MSFT,2025-06-29,HOLD,HOLD,HOLD,0,0.0271
MSFT,2025-06-30,SELL,SELL,SELL,0.002,0.0291
MSFT,2025-07-01,HOLD,HOLD,HOLD,0,0.0291
MSFT,2025-07-02,BUY,BUY,BUY,-0.0022,0.0268
MSFT,2025-07-06,HOLD,HOLD,HOLD,0,0.0268
MSFT,2025-07-07,HOLD,HOLD,HOLD,0,0.0268
MSFT,2025-07-08,BUY,BUY,BUY,-0.004,0.0228
MSFT,2025-07-09,HOLD,HOLD,HOLD,0,0.0228
MSFT,2025-07-10,HOLD,HOLD,HOLD,0,0.0228
MSFT,2025-07-13,HOLD,HOLD,HOLD,0,0.0228
MSFT,2025-07-14,BUY,BUY,BUY,-0.0004,0.0224
MSFT,2025-07-15,HOLD,HOLD,HOLD,0,0.0224
MSFT,2025-07-16,BUY,BUY,BUY,-0.0032,0.0192
MSFT,2025-07-17,HOLD,HOLD,HOLD,0,0.0192
MSFT,2025-07-20,HOLD,HOLD,HOLD,0,0.0192
MSFT,2025-07-21,SELL,SELL,SELL,-0.0012,0.018
MSFT,2025-07-22,HOLD,HOLD,HOLD,0,0.018
MSFT,2025-07-23,HOLD,HOLD,HOLD,0,0.018
MSFT,2025-07-24,BUY,BUY,BUY,-0.0024,0.0156
MSFT,2025-07-27,HOLD,HOLD,HOLD,0,0.0156
MSFT,2025-07-28,HOLD,HOLD,HOLD,0,0.0156
MSFT,2025-07-29,HOLD,HOLD,HOLD,0,0.0156
MSFT,2025-07-30,BUY,BUY,BUY,-0.0176,-0.002
MSFT,2025-07-31,HOLD,HOLD,HOLD,0,-0.002
MSFT,2025-08-03,HOLD,HOLD,HOLD,0,-0.002
MSFT,2025-08-04,HOLD,HOLD,HOLD,0,-0.002
MSFT,2025-08-05,SELL,SELL,SELL,0.0078,0.0058
MSFT,2025-08-06,SELL,SELL,SELL,-0.0023,0.0035
MSFT,2025-08-07,HOLD,HOLD,HOLD,0,0.0035
MSFT,2025-08-10,HOLD,HOLD,HOLD,0,0.0035
MSFT,2025-08-11,BUY,BUY,BUY,-0.0164,-0.0128
MSFT,2025-08-12,HOLD,HOLD,HOLD,0,-0.0128
MSFT,2025-08-13,HOLD,HOLD,HOLD,0,-0.0128
MSFT,2025-08-14,HOLD,HOLD,HOLD,0,-0.0128
MSFT,2025-08-17,SELL,SELL,SELL,0.0142,0.0013
MSFT,2025-08-18,SELL,SELL,SELL,0.0079,0.0093
MSFT,2025-08-19,SELL,SELL,SELL,0.0029,0.0122
MSFT,2025-08-20,SELL,SELL,SELL,-0.0059,0.0063
MSFT,2025-08-21,HOLD,HOLD,HOLD,0,0.0063
MSFT,2025-08-24,HOLD,HOLD,HOLD,0,0.0063
MSFT,2025-08-25,SELL,SELL,SELL,-0.0094,-0.0031
