"region","videoId","publishedAt","channelId","channelTitle","title","description","url"
"US","PQkcFbr61FI","2022-09-01T19:00:08Z","UCtjxa77NqamhVC8atV85Rog","ICT Mentorship Core Content - Month 03 - Institutional Order Flow","ICT Mentorship Core Content - Month 03 - Institutional Order Flow","2016 Premium ICT Mentorship Core Content Video Lectures Audio and visuals are exactly as they were distributed in November ...","https://www.youtube.com/watch?v=PQkcFbr61FI"
"US","Ovz-b5nGzJw","2024-08-04T13:00:31Z","UC2I5dxN4qhaV1dw55u31JWw","How to Master Order Flow Trading (ULTIMATE In-Depth Guide)","How to Master Order Flow Trading (ULTIMATE In-Depth Guide)","Get mentored by me personally to make your first $10k trading: https://1percentclub.co/?el=marketmechanics&htrafficsource=yt ...","https://www.youtube.com/watch?v=Ovz-b5nGzJw"
"US","TuOxEQwi4vI","2023-07-25T20:22:45Z","UCir8ZEhgIOLY__2tN1Pi0ig","Do You Sse Order Flow in Your Trading?","Do You Sse Order Flow in Your Trading?","","https://www.youtube.com/watch?v=TuOxEQwi4vI"
"US","lZn7zVRtAWk","2025-04-25T12:58:39Z","UC72h7j1uru3iopWJkaR958g","ORB is the one of the best strategies in trading and I am the KING of it.","ORB is the one of the best strategies in trading and I am the KING of it.","JOIN MY FREE DISCORD!     https://discord.gg/maxoptionstrading GET THE BEST DEALS ON ALL PROP FIRM SALES IN MY ...","https://www.youtube.com/watch?v=lZn7zVRtAWk"
"US","lPiahVDMFZU","2024-10-19T18:24:57Z","UCHvMu0C0vfg9oBQpihN5X4Q","The Fastest Way To Become Profitable In Trading Is Scalping 🤯","The Fastest Way To Become Profitable In Trading Is Scalping 🤯","","https://www.youtube.com/watch?v=lPiahVDMFZU"
"US","1OcgqadIr5o","2022-12-11T08:00:01Z","UCKW4NbjId8jDqAc2hvL6dSg","🤢 Volume Profile + Smart Money Price Action Structure Trading Strategy","🤢 Volume Profile + Smart Money Price Action Structure Trading Strategy","short Volume Profile n Smart Money Price Action Structure Trading Strategy Please like  subscribe & comment - that helps ...","https://www.youtube.com/watch?v=1OcgqadIr5o"
"US","kxS-9Pu0buw","2023-07-24T17:23:36Z","UCir8ZEhgIOLY__2tN1Pi0ig","Supply &amp; Demand Trading - Explained","Supply &amp; Demand Trading - Explained","","https://www.youtube.com/watch?v=kxS-9Pu0buw"
"US","J48hfckr19o","2023-12-09T01:34:10Z","UCaQDMEJKxaqSIW7bU2W_O1Q","Perfect Fair Value Gap Trade 🚀","Perfect Fair Value Gap Trade 🚀","","https://www.youtube.com/watch?v=J48hfckr19o"
"US","BxR3tVRS_FI","2024-04-18T15:45:03Z","UCtjxa77NqamhVC8atV85Rog","Lecture On ICT Order Blocks &amp; Tape Reading April 18  2024","Lecture On ICT Order Blocks &amp; Tape Reading April 18  2024","Government Required Risk Disclaimer and Disclosure Statement CFTC RULE 4.41 – HYPOTHETICAL OR SIMULATED ...","https://www.youtube.com/watch?v=BxR3tVRS_FI"
"US","eXE8g_Akrsk","2023-05-19T08:15:03Z","UC3HKlZ_7gxRgef9SCxu54Lw","Using Order Flow to Enter a Trending Market","Using Order Flow to Enter a Trending Market","Entering a rallying market can be tricky. You don't want to buy the top  but at the same time you have a strong bias and can't wait ...","https://www.youtube.com/watch?v=eXE8g_Akrsk"
"US","J-wjsissqHo","2023-12-01T00:09:49Z","UCaQDMEJKxaqSIW7bU2W_O1Q","ONLY Trading Indicator You Need | Volume Profile 💸","ONLY Trading Indicator You Need | Volume Profile 💸","","https://www.youtube.com/watch?v=J-wjsissqHo"
"US","JEkkpHyA86s","2018-03-06T10:37:08Z","UC32mYgIHS-e3C3Eyd2tRw6g","The Reading Strategy Every English Learner Needs to Know (Step-by-Step Guide)","The Reading Strategy Every English Learner Needs to Know (Step-by-Step Guide)","Read for English fluency! This lesson explains how you can improve your English through reading. This is a powerful method so ...","https://www.youtube.com/watch?v=JEkkpHyA86s"
"US","PcUoa5yyQ5A","2025-09-08T10:27:00Z","UCFWKvu581DpCRFfadjjIy7w","Bongkar Trik Bid Offer Saham","Bongkar Trik Bid Offer Saham","Cara tau bid offer saham yang dimanipulasi bandar dari bro @hengkyadinata21. Gimana menurut kalian?","https://www.youtube.com/watch?v=PcUoa5yyQ5A"
"US","o-w5Gxss6T0","2025-09-24T13:00:06Z","UCQTN8r4TYJUk2OXrkHyfVSQ","3 Order-flow Trading Tricks for Beginners","3 Order-flow Trading Tricks for Beginners","We are launching our Deepcharts Orderflow Platform on november 9th  Join the launch event at https://deepcharts.com/launch ...","https://www.youtube.com/watch?v=o-w5Gxss6T0"
"US","ZxdxY5lRCgg","2024-11-15T04:32:54Z","UCceFHHl_gpJ2wBNuBRXUDwg","Chart pattern reading ✅ indicator ❌ price action intraday strategy #nifty #banknifty #forex #shorts","Chart pattern reading ✅ indicator ❌ price action intraday strategy #nifty #banknifty #forex #shorts","","https://www.youtube.com/watch?v=ZxdxY5lRCgg"
"CA","seQ5RRI6H4c","2020-07-19T00:41:46Z","UCCn7nC3sHd9cPuQmJtjXRVA","Mock Call Sample Recording With Call Flow Guide: PART 1","Mock Call Sample Recording With Call Flow Guide: PART 1","PART 2 (BOOKING MOCK CALL): https://youtu.be/v7ZyTTnt2D8 Curious about what goes on during a mock call and how to pass ...","https://www.youtube.com/watch?v=seQ5RRI6H4c"
"CA","jh0X_myjehM","2023-04-25T02:26:00Z","UC9zh516XCUhN1EVIdblTXXQ","scalping strategy 🔥🔥 #nifty50 #banknifty #intradaytrading #bankniftyanalysis #sharemarket #nifty","scalping strategy 🔥🔥 #nifty50 #banknifty #intradaytrading #bankniftyanalysis #sharemarket #nifty","""No courses  no call tips. Please be aware – I do not take money from any user everything is free ."" ⚡ Join My Only Official ...","https://www.youtube.com/watch?v=jh0X_myjehM"
"CA","tvERE-Beu2U","2025-09-21T14:01:33Z","UC2GyeAMRDA4cRIiISejML2g","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Join The Chart Fanatics FREE Discord Community for Exclusive Discounts  Giveaways  Live Events & More https://discord.gg/ ...","https://www.youtube.com/watch?v=tvERE-Beu2U"
"CA","LbO3lRXT0ww","2018-11-04T09:26:04Z","UCBMi29ZI3a15lElkXpFng7Q","Main Idea | Summarising | Reading Strategies","Main Idea | Summarising | Reading Strategies","Learn how to determine the main idea of a text. Similar to summarising  this is an important reading strategy that helps readers ...","https://www.youtube.com/watch?v=LbO3lRXT0ww"
"CA","cFdpMAshkiw","2023-07-19T22:33:30Z","UC9KV4pshtiKoQF_IanKiT_w","Orderflow is better than candlestick charts !","Orderflow is better than candlestick charts !","","https://www.youtube.com/watch?v=cFdpMAshkiw"
"CA","8b5qxcKNT0s","2022-06-30T08:41:32Z","UCRA4UOCBRgv2w9b59pDMyvQ","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Time Management Hack - https://youtu.be/Y08aBMWGe-I.","https://www.youtube.com/watch?v=8b5qxcKNT0s"
"CA","g6WZyHwd7oY","2020-05-13T22:30:03Z","UCcIvNGMBSQWwo1v3n-ZRBCw","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","Learn to Day Trade: https://bit.ly/3uN3BpI Time stamps: 1:34 What is Level 2 Market Depth 5:13 What is Time and Sales (tape) ...","https://www.youtube.com/watch?v=g6WZyHwd7oY"
"CA","KlmX3s5dJ2A","2022-04-21T10:40:00Z","UCZlQnmL2gUQGzSugBcJ8HbA","What are ORDER BLOCKs Trading? 🤔 #Forex #shorts","What are ORDER BLOCKs Trading? 🤔 #Forex #shorts","Order blocks are refined areas of Supply and demand! Check my other videos for mitigation block and breaker blocks! #forex ...","https://www.youtube.com/watch?v=KlmX3s5dJ2A"
"CA","6Ac38LzXj3A","2024-09-24T12:00:08Z","UC8ue0lXRPv8cqyI9W26BtBg","Master ORDER FLOW TRADING in Less than ONE HOUR!","Master ORDER FLOW TRADING in Less than ONE HOUR!","Master order flow trading in record time! Fractal Trading - Mastering Price Action & Beyond shopping cart: ...","https://www.youtube.com/watch?v=6Ac38LzXj3A"
"CA","3VeCDeQPJDE","2022-02-17T16:29:07Z","UCOtm57EUdtsWqQY7xtfTUBA","One UNIQUE Technique for All IELTS READING PASSAGES By Asad Yaqub","One UNIQUE Technique for All IELTS READING PASSAGES By Asad Yaqub","","https://www.youtube.com/watch?v=3VeCDeQPJDE"
"CA","mq-9boX5bjU","2022-10-18T17:11:51Z","UCg3B_joekBGJ1s_4fRjsMKA","The Easiest Scalping Strategy For Day Traders #daytrading","The Easiest Scalping Strategy For Day Traders #daytrading","","https://www.youtube.com/watch?v=mq-9boX5bjU"
"CA","PQkcFbr61FI","2022-09-01T19:00:08Z","UCtjxa77NqamhVC8atV85Rog","ICT Mentorship Core Content - Month 03 - Institutional Order Flow","ICT Mentorship Core Content - Month 03 - Institutional Order Flow","2016 Premium ICT Mentorship Core Content Video Lectures Audio and visuals are exactly as they were distributed in November ...","https://www.youtube.com/watch?v=PQkcFbr61FI"
"CA","Ovz-b5nGzJw","2024-08-04T13:00:31Z","UC2I5dxN4qhaV1dw55u31JWw","How to Master Order Flow Trading (ULTIMATE In-Depth Guide)","How to Master Order Flow Trading (ULTIMATE In-Depth Guide)","Get mentored by me personally to make your first $10k trading: https://1percentclub.co/?el=marketmechanics&htrafficsource=yt ...","https://www.youtube.com/watch?v=Ovz-b5nGzJw"
"CA","TuOxEQwi4vI","2023-07-25T20:22:45Z","UCir8ZEhgIOLY__2tN1Pi0ig","Do You Sse Order Flow in Your Trading?","Do You Sse Order Flow in Your Trading?","","https://www.youtube.com/watch?v=TuOxEQwi4vI"
"CA","1OcgqadIr5o","2022-12-11T08:00:01Z","UCKW4NbjId8jDqAc2hvL6dSg","🤢 Volume Profile + Smart Money Price Action Structure Trading Strategy","🤢 Volume Profile + Smart Money Price Action Structure Trading Strategy","short Volume Profile n Smart Money Price Action Structure Trading Strategy Please like  subscribe & comment - that helps ...","https://www.youtube.com/watch?v=1OcgqadIr5o"
"CA","kxS-9Pu0buw","2023-07-24T17:23:36Z","UCir8ZEhgIOLY__2tN1Pi0ig","Supply &amp; Demand Trading - Explained","Supply &amp; Demand Trading - Explained","","https://www.youtube.com/watch?v=kxS-9Pu0buw"
"CA","sSgHnTsmozQ","2023-01-30T08:09:31Z","UCU90bmuFklltZMHCrZz3Vhw","How To Take Confirmation Entry | Bos | Choch | Liquidity | Orderblock | Smart Money Concept","How To Take Confirmation Entry | Bos | Choch | Liquidity | Orderblock | Smart Money Concept","","https://www.youtube.com/watch?v=sSgHnTsmozQ"
"CA","BxR3tVRS_FI","2024-04-18T15:45:03Z","UCtjxa77NqamhVC8atV85Rog","Lecture On ICT Order Blocks &amp; Tape Reading April 18  2024","Lecture On ICT Order Blocks &amp; Tape Reading April 18  2024","Government Required Risk Disclaimer and Disclosure Statement CFTC RULE 4.41 – HYPOTHETICAL OR SIMULATED ...","https://www.youtube.com/watch?v=BxR3tVRS_FI"
"CA","eXE8g_Akrsk","2023-05-19T08:15:03Z","UC3HKlZ_7gxRgef9SCxu54Lw","Using Order Flow to Enter a Trending Market","Using Order Flow to Enter a Trending Market","Entering a rallying market can be tricky. You don't want to buy the top  but at the same time you have a strong bias and can't wait ...","https://www.youtube.com/watch?v=eXE8g_Akrsk"
"CA","JEkkpHyA86s","2018-03-06T10:37:08Z","UC32mYgIHS-e3C3Eyd2tRw6g","The Reading Strategy Every English Learner Needs to Know (Step-by-Step Guide)","The Reading Strategy Every English Learner Needs to Know (Step-by-Step Guide)","Read for English fluency! This lesson explains how you can improve your English through reading. This is a powerful method so ...","https://www.youtube.com/watch?v=JEkkpHyA86s"
"CA","TVbsMcOA8-s","2023-04-26T11:45:34Z","UCxXBs9D6C65Zq9YP2q4Ttwg","How To Read Manga","How To Read Manga","","https://www.youtube.com/watch?v=TVbsMcOA8-s"
"CA","o-w5Gxss6T0","2025-09-24T13:00:06Z","UCQTN8r4TYJUk2OXrkHyfVSQ","3 Order-flow Trading Tricks for Beginners","3 Order-flow Trading Tricks for Beginners","We are launching our Deepcharts Orderflow Platform on november 9th  Join the launch event at https://deepcharts.com/launch ...","https://www.youtube.com/watch?v=o-w5Gxss6T0"
"CA","ido4b1_WIiM","2024-03-27T16:43:25Z","UCir8ZEhgIOLY__2tN1Pi0ig","Candle stick chart vs Footprint chart!","Candle stick chart vs Footprint chart!","trading #daytrading #orderflow #footprintchart #candlestick.","https://www.youtube.com/watch?v=ido4b1_WIiM"
"CA","qdjjffIaMMo","2024-04-19T13:54:10Z","UC-luaBAGSqZ---25Wifnnhg","New Money Flow Volume Profile Is Game Changing","New Money Flow Volume Profile Is Game Changing","","https://www.youtube.com/watch?v=qdjjffIaMMo"
"CA","ljk9BovCSqI","2025-07-21T17:13:11Z","UCCbv0qixG-cyokxEY3kELtg","The ONLY Orderflow Guide You&#39;ll EVER NEED","The ONLY Orderflow Guide You&#39;ll EVER NEED","In this video I'll show you how to master order flow like a true professional. This is a monumental tool to have in your arsenal.","https://www.youtube.com/watch?v=ljk9BovCSqI"
"JP","seQ5RRI6H4c","2020-07-19T00:41:46Z","UCCn7nC3sHd9cPuQmJtjXRVA","Mock Call Sample Recording With Call Flow Guide: PART 1","Mock Call Sample Recording With Call Flow Guide: PART 1","PART 2 (BOOKING MOCK CALL): https://youtu.be/v7ZyTTnt2D8 Curious about what goes on during a mock call and how to pass ...","https://www.youtube.com/watch?v=seQ5RRI6H4c"
"JP","tvERE-Beu2U","2025-09-21T14:01:33Z","UC2GyeAMRDA4cRIiISejML2g","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Join The Chart Fanatics FREE Discord Community for Exclusive Discounts  Giveaways  Live Events & More https://discord.gg/ ...","https://www.youtube.com/watch?v=tvERE-Beu2U"
"JP","LbO3lRXT0ww","2018-11-04T09:26:04Z","UCBMi29ZI3a15lElkXpFng7Q","Main Idea | Summarising | Reading Strategies","Main Idea | Summarising | Reading Strategies","Learn how to determine the main idea of a text. Similar to summarising  this is an important reading strategy that helps readers ...","https://www.youtube.com/watch?v=LbO3lRXT0ww"
"JP","4Qs2Le544JQ","2023-04-29T16:55:29Z","UC5eEWVXu2FQSEKKA8tLyiCQ","1000 times tested scalping trading strategy | #nifty #banknifty #shorts #youtubeshorts","1000 times tested scalping trading strategy | #nifty #banknifty #shorts #youtubeshorts","in this shorts we are showing scalping strategy for 1 min . you can use this trading strategy in nifty and Banknifty. you can also use ...","https://www.youtube.com/watch?v=4Qs2Le544JQ"
"JP","cFdpMAshkiw","2023-07-19T22:33:30Z","UC9KV4pshtiKoQF_IanKiT_w","Orderflow is better than candlestick charts !","Orderflow is better than candlestick charts !","","https://www.youtube.com/watch?v=cFdpMAshkiw"
"JP","8b5qxcKNT0s","2022-06-30T08:41:32Z","UCRA4UOCBRgv2w9b59pDMyvQ","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Time Management Hack - https://youtu.be/Y08aBMWGe-I.","https://www.youtube.com/watch?v=8b5qxcKNT0s"
"JP","g6WZyHwd7oY","2020-05-13T22:30:03Z","UCcIvNGMBSQWwo1v3n-ZRBCw","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","Learn to Day Trade: https://bit.ly/3uN3BpI Time stamps: 1:34 What is Level 2 Market Depth 5:13 What is Time and Sales (tape) ...","https://www.youtube.com/watch?v=g6WZyHwd7oY"
"JP","6Ac38LzXj3A","2024-09-24T12:00:08Z","UC8ue0lXRPv8cqyI9W26BtBg","Master ORDER FLOW TRADING in Less than ONE HOUR!","Master ORDER FLOW TRADING in Less than ONE HOUR!","Master order flow trading in record time! Fractal Trading - Mastering Price Action & Beyond shopping cart: ...","https://www.youtube.com/watch?v=6Ac38LzXj3A"
"JP","3VeCDeQPJDE","2022-02-17T16:29:07Z","UCOtm57EUdtsWqQY7xtfTUBA","One UNIQUE Technique for All IELTS READING PASSAGES By Asad Yaqub","One UNIQUE Technique for All IELTS READING PASSAGES By Asad Yaqub","","https://www.youtube.com/watch?v=3VeCDeQPJDE"
"JP","mq-9boX5bjU","2022-10-18T17:11:51Z","UCg3B_joekBGJ1s_4fRjsMKA","The Easiest Scalping Strategy For Day Traders #daytrading","The Easiest Scalping Strategy For Day Traders #daytrading","","https://www.youtube.com/watch?v=mq-9boX5bjU"
"JP","PQkcFbr61FI","2022-09-01T19:00:08Z","UCtjxa77NqamhVC8atV85Rog","ICT Mentorship Core Content - Month 03 - Institutional Order Flow","ICT Mentorship Core Content - Month 03 - Institutional Order Flow","2016 Premium ICT Mentorship Core Content Video Lectures Audio and visuals are exactly as they were distributed in November ...","https://www.youtube.com/watch?v=PQkcFbr61FI"
"JP","Ovz-b5nGzJw","2024-08-04T13:00:31Z","UC2I5dxN4qhaV1dw55u31JWw","How to Master Order Flow Trading (ULTIMATE In-Depth Guide)","How to Master Order Flow Trading (ULTIMATE In-Depth Guide)","Get mentored by me personally to make your first $10k trading: https://1percentclub.co/?el=marketmechanics&htrafficsource=yt ...","https://www.youtube.com/watch?v=Ovz-b5nGzJw"
"JP","TuOxEQwi4vI","2023-07-25T20:22:45Z","UCir8ZEhgIOLY__2tN1Pi0ig","Do You Sse Order Flow in Your Trading?","Do You Sse Order Flow in Your Trading?","","https://www.youtube.com/watch?v=TuOxEQwi4vI"
"JP","lPiahVDMFZU","2024-10-19T18:24:57Z","UCHvMu0C0vfg9oBQpihN5X4Q","The Fastest Way To Become Profitable In Trading Is Scalping 🤯","The Fastest Way To Become Profitable In Trading Is Scalping 🤯","","https://www.youtube.com/watch?v=lPiahVDMFZU"
"JP","1OcgqadIr5o","2022-12-11T08:00:01Z","UCKW4NbjId8jDqAc2hvL6dSg","🤢 Volume Profile + Smart Money Price Action Structure Trading Strategy","🤢 Volume Profile + Smart Money Price Action Structure Trading Strategy","short Volume Profile n Smart Money Price Action Structure Trading Strategy Please like  subscribe & comment - that helps ...","https://www.youtube.com/watch?v=1OcgqadIr5o"
"JP","kxS-9Pu0buw","2023-07-24T17:23:36Z","UCir8ZEhgIOLY__2tN1Pi0ig","Supply &amp; Demand Trading - Explained","Supply &amp; Demand Trading - Explained","","https://www.youtube.com/watch?v=kxS-9Pu0buw"
"JP","J48hfckr19o","2023-12-09T01:34:10Z","UCaQDMEJKxaqSIW7bU2W_O1Q","Perfect Fair Value Gap Trade 🚀","Perfect Fair Value Gap Trade 🚀","","https://www.youtube.com/watch?v=J48hfckr19o"
"JP","BxR3tVRS_FI","2024-04-18T15:45:03Z","UCtjxa77NqamhVC8atV85Rog","Lecture On ICT Order Blocks &amp; Tape Reading April 18  2024","Lecture On ICT Order Blocks &amp; Tape Reading April 18  2024","Government Required Risk Disclaimer and Disclosure Statement CFTC RULE 4.41 – HYPOTHETICAL OR SIMULATED ...","https://www.youtube.com/watch?v=BxR3tVRS_FI"
"JP","eXE8g_Akrsk","2023-05-19T08:15:03Z","UC3HKlZ_7gxRgef9SCxu54Lw","Using Order Flow to Enter a Trending Market","Using Order Flow to Enter a Trending Market","Entering a rallying market can be tricky. You don't want to buy the top  but at the same time you have a strong bias and can't wait ...","https://www.youtube.com/watch?v=eXE8g_Akrsk"
"JP","J-wjsissqHo","2023-12-01T00:09:49Z","UCaQDMEJKxaqSIW7bU2W_O1Q","ONLY Trading Indicator You Need | Volume Profile 💸","ONLY Trading Indicator You Need | Volume Profile 💸","","https://www.youtube.com/watch?v=J-wjsissqHo"
"JP","JEkkpHyA86s","2018-03-06T10:37:08Z","UC32mYgIHS-e3C3Eyd2tRw6g","The Reading Strategy Every English Learner Needs to Know (Step-by-Step Guide)","The Reading Strategy Every English Learner Needs to Know (Step-by-Step Guide)","Read for English fluency! This lesson explains how you can improve your English through reading. This is a powerful method so ...","https://www.youtube.com/watch?v=JEkkpHyA86s"
"JP","PcUoa5yyQ5A","2025-09-08T10:27:00Z","UCFWKvu581DpCRFfadjjIy7w","Bongkar Trik Bid Offer Saham","Bongkar Trik Bid Offer Saham","Cara tau bid offer saham yang dimanipulasi bandar dari bro @hengkyadinata21. Gimana menurut kalian?","https://www.youtube.com/watch?v=PcUoa5yyQ5A"
"JP","o-w5Gxss6T0","2025-09-24T13:00:06Z","UCQTN8r4TYJUk2OXrkHyfVSQ","3 Order-flow Trading Tricks for Beginners","3 Order-flow Trading Tricks for Beginners","We are launching our Deepcharts Orderflow Platform on november 9th  Join the launch event at https://deepcharts.com/launch ...","https://www.youtube.com/watch?v=o-w5Gxss6T0"
"JP","ZxdxY5lRCgg","2024-11-15T04:32:54Z","UCceFHHl_gpJ2wBNuBRXUDwg","Chart pattern reading ✅ indicator ❌ price action intraday strategy #nifty #banknifty #forex #shorts","Chart pattern reading ✅ indicator ❌ price action intraday strategy #nifty #banknifty #forex #shorts","","https://www.youtube.com/watch?v=ZxdxY5lRCgg"
"JP","7HD5ZG2MmeQ","2024-09-11T10:58:25Z","UCwzXx0aDwkWfCdTrQu9A9AA","Gold Trading Strategy Explained - SMC  Supply and demand  liquidity xauusd trade breakdown","Gold Trading Strategy Explained - SMC  Supply and demand  liquidity xauusd trade breakdown","Most traders understand how to analyse a chart  but not how to trade. Learn how to make $5000 per month consistently: ...","https://www.youtube.com/watch?v=7HD5ZG2MmeQ"
"TW","seQ5RRI6H4c","2020-07-19T00:41:46Z","UCCn7nC3sHd9cPuQmJtjXRVA","Mock Call Sample Recording With Call Flow Guide: PART 1","Mock Call Sample Recording With Call Flow Guide: PART 1","PART 2 (BOOKING MOCK CALL): https://youtu.be/v7ZyTTnt2D8 Curious about what goes on during a mock call and how to pass ...","https://www.youtube.com/watch?v=seQ5RRI6H4c"
"TW","tvERE-Beu2U","2025-09-21T14:01:33Z","UC2GyeAMRDA4cRIiISejML2g","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Trading LIVE with the #1 Scalper in the WORLD (EXTREME Accuracy)","Join The Chart Fanatics FREE Discord Community for Exclusive Discounts  Giveaways  Live Events & More https://discord.gg/ ...","https://www.youtube.com/watch?v=tvERE-Beu2U"
"TW","LbO3lRXT0ww","2018-11-04T09:26:04Z","UCBMi29ZI3a15lElkXpFng7Q","Main Idea | Summarising | Reading Strategies","Main Idea | Summarising | Reading Strategies","Learn how to determine the main idea of a text. Similar to summarising  this is an important reading strategy that helps readers ...","https://www.youtube.com/watch?v=LbO3lRXT0ww"
"TW","4Qs2Le544JQ","2023-04-29T16:55:29Z","UC5eEWVXu2FQSEKKA8tLyiCQ","1000 times tested scalping trading strategy | #nifty #banknifty #shorts #youtubeshorts","1000 times tested scalping trading strategy | #nifty #banknifty #shorts #youtubeshorts","in this shorts we are showing scalping strategy for 1 min . you can use this trading strategy in nifty and Banknifty. you can also use ...","https://www.youtube.com/watch?v=4Qs2Le544JQ"
"TW","cFdpMAshkiw","2023-07-19T22:33:30Z","UC9KV4pshtiKoQF_IanKiT_w","Orderflow is better than candlestick charts !","Orderflow is better than candlestick charts !","","https://www.youtube.com/watch?v=cFdpMAshkiw"
"TW","8b5qxcKNT0s","2022-06-30T08:41:32Z","UCRA4UOCBRgv2w9b59pDMyvQ","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Tip 1. Find answers quickly","IELTS Reading Time Management Hack - https://youtu.be/Y08aBMWGe-I.","https://www.youtube.com/watch?v=8b5qxcKNT0s"
"TW","g6WZyHwd7oY","2020-05-13T22:30:03Z","UCcIvNGMBSQWwo1v3n-ZRBCw","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","How to Read Level 2 Time and Sales  Tape Reading - Day Trading for Beginners 2025","Learn to Day Trade: https://bit.ly/3uN3BpI Time stamps: 1:34 What is Level 2 Market Depth 5:13 What is Time and Sales (tape) ...","https://www.youtube.com/watch?v=g6WZyHwd7oY"
